Players_Name,Players_Type,Total_Batted,Did_Bat,Matches_Name,Runs,Balls,Fours,Sixes,SR,Did_Bowl,Overs,Maidens,Runs_Conceded,Wickets,Economy,Wides,No_Balls
Nicholas Kirton,All Rounder,7,T, Pokhara - 20th ,19,16,0,1,118.75,F,0,0,0,0,0,0,0
Nicholas Kirton,All Rounder,7,T, Pokhara - 20th ,2,3,0,0,66.67,F,0,0,0,0,0,0,0
Nicholas Kirton,All Rounder,7,T,Karnali - 13th ,40,39,4,1,102.56,F,0,0,0,0,0,0,0
Nicholas Kirton,All Rounder,7,T,Lumbini - 7th ,0,1,0,0,0,F,0,0,0,0,0,0,0
Nicholas Kirton,All Rounder,7,T,S Paschim - 4th ,5,9,1,0,55.56,F,0,0,0,0,0,0,0
Pratis GC,All Rounder,5,F, Chitwan - 23rd ,0,0,0,0,0,T,2,0,19,0,9.5,1,0
Pratis GC,All Rounder,5,T, Janakpur - 1st ,2,3,0,0,66.67,T,2,0,14,1,7,3,0
Pratis GC,All Rounder,5,T, Pokhara - 20th ,4,1,1,0,400,F,0,0,0,0,0,0,0
Pratis GC,All Rounder,5,T,Karnali - 13th ,7,7,0,0,100,T,4,1,17,4,4.25,1,0
Pratis GC,All Rounder,5,T,Lumbini - 7th ,6,3,0,1,200,T,3,0,16,0,5.33,0,0
Pratis GC,All Rounder,5,T,S Paschim - 4th ,1,3,0,0,33.33,T,4,0,43,0,10.75,2,0
Rajesh Pulami,Right Handed Batter,5,T, Chitwan - 23rd ,33,20,1,3,165,F,0,0,0,0,0,0,0
Rajesh Pulami,Right Handed Batter,5,T, Janakpur - 1st ,1,6,0,0,16.67,F,0,0,0,0,0,0,0
Rajesh Pulami,Right Handed Batter,5,T, Kathmandu - 26th ,25,21,1,1,119.05,F,0,0,0,0,0,0,0
Rajesh Pulami,Right Handed Batter,5,T,Lumbini - 7th ,4,10,0,0,40,T,2,0,22,1,11,2,0
Rajesh Pulami,Right Handed Batter,5,T,S Paschim - 4th ,15,15,0,1,100,F,0,0,0,0,0,0,0
Sandeep Lamichhane,Legbreak Googly Bowler,5,F, Chitwan - 23rd ,0,0,0,0,0,T,4,0,28,2,7,1,0
Sandeep Lamichhane,Legbreak Googly Bowler,5,T, Janakpur - 1st ,7,4,0,1,175,T,4,0,30,0,7.5,0,0
Sandeep Lamichhane,Legbreak Googly Bowler,5,T, Kathmandu - 26th ,0,2,0,0,0,T,4,0,19,3,4.75,0,0
Sandeep Lamichhane,Legbreak Googly Bowler,5,F, Pokhara - 20th ,0,0,0,0,0,F,0,0,0,0,0,0,0
Sandeep Lamichhane,Legbreak Googly Bowler,5,T,Karnali - 13th ,6,5,0,0,120,T,4,0,36,0,9,0,0
Sandeep Lamichhane,Legbreak Googly Bowler,5,T,Lumbini - 7th ,1,3,0,0,33.33,T,4,0,26,1,6.5,0,0
Sandeep Lamichhane,Legbreak Googly Bowler,5,T,S Paschim - 4th ,8,6,1,0,133.33,T,4,0,31,0,7.75,0,0
Scott Edwards,Wicketkeeper Batter,3,T, Chitwan - 23rd ,0,4,0,0,0,F,0,0,0,0,0,0,0
Scott Edwards,Wicketkeeper Batter,3,T, Kathmandu - 26th ,15,14,1,0,107.14,F,0,0,0,0,0,0,0
Scott Edwards,Wicketkeeper Batter,3,T, Pokhara - 20th ,45,35,5,0,128.57,F,0,0,0,0,0,0,0
Subash Bhandari,Right-Arm Offbreak Bowler,1,F, Chitwan - 23rd ,0,0,0,0,0,T,4,0,27,1,6.75,0,0
Subash Bhandari,Right-Arm Offbreak Bowler,1,T, Kathmandu - 26th ,6,10,0,0,60,T,0.1,0,4,0,40,0,0
Subash Bhandari,Right-Arm Offbreak Bowler,1,F,Karnali - 13th ,0,0,0,0,0,F,0,0,0,0,0,0,0
