Matches_name,Player_Name,Runs,Balls,Fours,Sixes,SR
S Paschim vs Biratnagar - 4th Match,Basir Ahamad,24,28,2,0,85.71
S Paschim vs Biratnagar - 4th Match,Ismat Alam,6,4,1,0,150
S Paschim vs Biratnagar - 4th Match,Dipak Bohara,5,6,0,0,83.33
S Paschim vs Biratnagar - 4th Match,Pratis GC,1,3,0,0,33.33
S Paschim vs Biratnagar - 4th Match,Sandeep Lamichhane,8,6,1,0,133.33
S Paschim vs Biratnagar - 4th Match,Chris Sole,9,7,0,1,128.57
S Paschim vs Biratnagar - 4th Match,Anil Kharel,10,11,1,0,90.9
Chitwan vs Pokhara - 5th Match,Hassan Eisakhil,14,10,1,1,140
Chitwan vs Pokhara - 5th Match,Deepak Bohara,2,4,0,0,50
Chitwan vs Pokhara - 5th Match,Luc Benkenstein,16,13,1,2,123.07
Chitwan vs Pokhara - 5th Match,Kushal Malla,38,23,1,4,165.21
Chitwan vs Pokhara - 5th Match,Ravi Bopara,51,38,3,3,134.21
Chitwan vs Pokhara - 5th Match,Santosh Karki,11,13,0,0,84.61
Chitwan vs Pokhara - 5th Match,Sohail Tanvir,0,1,0,0,0
Chitwan vs Pokhara - 5th Match,Sharad Vesawkar,11,12,0,0,91.66
Chitwan vs Pokhara - 5th Match,Amar Routela,13,6,0,1,216.66
Chitwan vs Pokhara - 5th Match,Bipin Rawal,,,,,
Chitwan vs Pokhara - 5th Match,Rijan Dhakal,,,,,
Chitwan vs Pokhara - 5th Match,Kushal Bhurtel,0,1,0,0,0
Chitwan vs Pokhara - 5th Match,Dinesh Kharel,1,12,0,0,8.33
Chitwan vs Pokhara - 5th Match,Dilip Nath,4,4,1,0,100
Chitwan vs Pokhara - 5th Match,Bas de Leede,0,1,0,0,0
Chitwan vs Pokhara - 5th Match,Kiran Thagunna,1,2,0,0,50
Chitwan vs Pokhara - 5th Match,Raymon Reifer,1,9,0,0,11.11
Chitwan vs Pokhara - 5th Match,Michael Leask,0,2,0,0,0
Chitwan vs Pokhara - 5th Match,Matt Critchley,17,16,2,0,106.25
Chitwan vs Pokhara - 5th Match,Narayan Joshi,30,24,3,2,125
Chitwan vs Pokhara - 5th Match,Bipin Khatri,9,8,0,1,112.5
Chitwan vs Pokhara - 5th Match,Sagar Dhakal,0,1,0,0,0
Karnali vs Kathmandu - 6th Match,Dev Khanal,0,3,0,0,0
Karnali vs Kathmandu - 6th Match,Shikhar Dhawan,72,51,4,5,141.17
Karnali vs Kathmandu - 6th Match,Chadwick Walton,21,15,5,0,140
Karnali vs Kathmandu - 6th Match,Babar Hayat,13,18,0,1,72.22
Karnali vs Kathmandu - 6th Match,Gulsan Jha,12,19,1,0,63.15
Karnali vs Kathmandu - 6th Match,Arjun Gharti,4,3,1,0,133.33
Karnali vs Kathmandu - 6th Match,Zeeshan Maqsood,14,11,1,0,127.27
Karnali vs Kathmandu - 6th Match,Sompal Kami,,,,,
Karnali vs Kathmandu - 6th Match,Nandan Yadav,,,,,
Karnali vs Kathmandu - 6th Match,Bipin Sharma,,,,,
Karnali vs Kathmandu - 6th Match,Bhuvan Karki,,,,,
Karnali vs Kathmandu - 6th Match,Shankar Rana,6,7,1,0,85.71
Karnali vs Kathmandu - 6th Match,Michael Levitt,22,19,2,1,115.78
Karnali vs Kathmandu - 6th Match,Stephen Eskinazi,3,6,0,0,50
Karnali vs Kathmandu - 6th Match,Bhim Sharki,9,10,1,0,90
Karnali vs Kathmandu - 6th Match,Gerhard Erasmus,38,28,3,2,135.71
Karnali vs Kathmandu - 6th Match,Sumit Maharjan,40,37,3,1,108.1
Karnali vs Kathmandu - 6th Match,Karan KC,28,10,2,2,280
Karnali vs Kathmandu - 6th Match,Rashid Khan,0,0,0,0,-
Karnali vs Kathmandu - 6th Match,Shahab Alam,0,0,0,0,-
Karnali vs Kathmandu - 6th Match,Nathan Sowter,,,,,
Karnali vs Kathmandu - 6th Match,Dipesh Kandel,,,,,
Lumbini vs Biratnagar - 7th Match,Ashutosh Ghiraiya,15,13,2,1,115.38
Lumbini vs Biratnagar - 7th Match,Arjun Saud,17,19,3,0,89.47
Lumbini vs Biratnagar - 7th Match,Rohit Paudel,46,29,4,2,158.62
Lumbini vs Biratnagar - 7th Match,Tom Moores,30,17,1,3,176.47
Lumbini vs Biratnagar - 7th Match,Sundeep Jora,12,13,0,0,92.3
Lumbini vs Biratnagar - 7th Match,Saad Bin Zafar,15,13,0,1,115.38
Lumbini vs Biratnagar - 7th Match,Ben Cutting,6,6,1,0,100
Lumbini vs Biratnagar - 7th Match,Bibek Yadav,19,7,0,3,271.42
Lumbini vs Biratnagar - 7th Match,Ramon Simmonds,2,3,0,0,66.66
Lumbini vs Biratnagar - 7th Match,Durgesh Gupta,,,,,
Lumbini vs Biratnagar - 7th Match,Surya Tamang,,,,,
Lumbini vs Biratnagar - 7th Match,Lokesh Bam,71,47,3,6,151.06
