Players_Name,Players_Type,Total_Batted,Did_Bat,Matches_Name,Runs,Balls,Fours,Sixes,Sr,Did_Bowl,Overs,Maidens,Runs_Conceded,Wickets,Economy,Wides,No_Balls
Gulsan Jha,All Rounder,9,T, S Paschim - 28th ,2,2,0,0,100,F,0,0,0,0,0,0,0
Gulsan Jha,All Rounder,9,T,Pokhara  - 17th ,49,37,3,4,132.43,F,0,0,0,0,0,0,0
Jaykishan Kolsawala,Left Handed Batter,2,T, Chitwan - Eliminator,53,39,6,2,135.9,F,0,0,0,0,0,0,0
Jaykishan Kolsawala,Left Handed Batter,2,T, Janakpur - Qualifier 2,1,4,0,0,25,F,0,0,0,0,0,0,0
Mousom Dhakal,Right-Arm Offbreak Bowler,0,F, Janakpur - 3rd ,0,0,0,0,0,T,2.1,0,25,1,11.9,0,0
Nandan Yadav,Right-Arm Medium Bowler,5,F,Chitwan  - 10th ,0,0,0,0,0,T,2,1,11,1,5.5,0,0
Nandan Yadav,Right-Arm Medium Bowler,5,T, Biratnagar - 13th ,0,3,0,0,0,T,4,0,19,3,4.75,1,0
Nandan Yadav,Right-Arm Medium Bowler,5,F, Chitwan - Eliminator,0,0,0,0,0,T,3,0,28,2,9.33,0,0
Nandan Yadav,Right-Arm Medium Bowler,5,T, Janakpur - 3rd ,0,0,0,0,0,T,1,0,16,0,16,2,0
Nandan Yadav,Right-Arm Medium Bowler,5,T, Janakpur - Qualifier 2,4,9,0,0,44.44,T,4,0,27,0,6.75,0,0
Nandan Yadav,Right-Arm Medium Bowler,5,F, Kathmandu - 6th ,0,0,0,0,0,T,3.3,0,32,1,9.7,3,0
Nandan Yadav,Right-Arm Medium Bowler,5,T, Lumbini - 22nd ,0,1,0,0,0,T,4,0,26,1,6.5,0,0
Nandan Yadav,Right-Arm Medium Bowler,5,T, S Paschim - 28th ,0,3,0,0,0,T,2,0,18,1,9,1,0
Nandan Yadav,Right-Arm Medium Bowler,5,F,Pokhara  - 17th ,0,0,0,0,0,F,0,0,0,0,0,0,0
Rit Gautam,Right Handed Batter,2,T, Chitwan - Eliminator,0,1,0,0,0,F,0,0,0,0,0,0,0
Rit Gautam,Right Handed Batter,2,T, S Paschim - 28th ,0,3,0,0,0,F,0,0,0,0,0,0,0
Shikhar Dhawan,Left Handed Batter,4,T,Chitwan  - 10th ,45,41,4,1,109.76,F,0,0,0,0,0,0,0
Shikhar Dhawan,Left Handed Batter,4,T, Biratnagar - 13th ,5,5,1,0,100,F,0,0,0,0,0,0,0
Shikhar Dhawan,Left Handed Batter,4,T, Janakpur - 3rd ,14,14,3,0,100,F,0,0,0,0,0,0,0
Shikhar Dhawan,Left Handed Batter,4,T, Kathmandu - 6th ,72,51,4,5,141.18,F,0,0,0,0,0,0,0
Sompal Kami,All Rounder,6,F,Chitwan  - 10th ,0,0,0,0,0,T,4,0,31,1,7.75,1,0
Sompal Kami,All Rounder,6,T, Biratnagar - 13th ,0,0,0,0,0,T,4,0,27,1,6.75,1,0
Sompal Kami,All Rounder,6,T, Chitwan - Eliminator,0,1,0,0,0,T,3,0,22,2,7.33,1,0
Sompal Kami,All Rounder,6,T, Janakpur - 3rd ,29,13,3,1,223.08,T,3,0,33,0,11,0,1
Sompal Kami,All Rounder,6,T, Janakpur - Qualifier 2,5,8,0,0,62.5,T,3,0,23,1,7.67,2,0
Sompal Kami,All Rounder,6,F, Kathmandu - 6th ,0,0,0,0,0,T,4,0,34,1,8.5,1,0
Sompal Kami,All Rounder,6,T, Lumbini - 22nd ,7,3,0,1,233.33,T,4,1,24,1,6,0,0
Sompal Kami,All Rounder,6,T, S Paschim - 28th ,11,9,2,0,122.22,T,2.2,0,20,1,9.09,3,0
Sompal Kami,All Rounder,6,F,Pokhara  - 17th ,0,0,0,0,0,T,2.3,0,26,1,11.3,0,0
Unish Thakuri,All Rounder,2,F,Chitwan  - 10th ,0,0,0,0,0,T,1,0,10,0,10,0,0
Unish Thakuri,All Rounder,2,T, Biratnagar - 13th ,0,1,0,0,0,T,2,0,17,1,8.5,0,0
Unish Thakuri,All Rounder,2,T, Janakpur - Qualifier 2,12,17,2,0,70.59,T,1,0,7,0,7,0,0
Unish Thakuri,All Rounder,2,F, Lumbini - 22nd ,0,0,0,0,0,T,1,0,13,0,13,0,0
Unish Thakuri,All Rounder,2,F,Pokhara  - 17th ,0,0,0,0,0,T,4,0,17,1,4.25,0,0
William Bosisto,Right-Arm Offbreak Bowler,6,F,Chitwan  - 10th ,0,0,0,0,0,T,2,0,17,0,8.5,0,0
William Bosisto,Right-Arm Offbreak Bowler,6,T, Biratnagar - 13th ,66,49,5,3,134.69,T,4,0,21,1,5.25,0,0
William Bosisto,Right-Arm Offbreak Bowler,6,T, Chitwan - Eliminator,52,39,3,2,133.33,T,3,0,20,0,6.67,2,0
William Bosisto,Right-Arm Offbreak Bowler,6,T, Janakpur - Qualifier 2,14,15,1,0,93.33,T,3,1,25,1,8.33,0,0
William Bosisto,Right-Arm Offbreak Bowler,6,T, Lumbini - 22nd ,44,30,3,3,146.67,T,4,0,23,1,5.75,0,0
William Bosisto,Right-Arm Offbreak Bowler,6,T, S Paschim - 28th ,16,24,1,0,66.67,T,4,0,30,0,7.5,0,0
William Bosisto,Right-Arm Offbreak Bowler,6,T,Pokhara  - 17th ,2,6,0,0,33.33,T,4,0,28,6,7,1,0
Zeeshan Maqsood,All Rounder,8,T,Chitwan  - 10th ,12,15,1,0,80,T,4,0,22,2,5.5,2,0
Zeeshan Maqsood,All Rounder,8,T, Biratnagar - 13th ,2,3,0,0,66.67,T,2,0,16,0,8,0,0
Zeeshan Maqsood,All Rounder,8,T, Chitwan - Eliminator,14,12,1,1,116.67,T,4,0,26,3,6.5,0,0
Zeeshan Maqsood,All Rounder,8,T, Janakpur - 3rd ,0,2,0,0,0,T,4,0,33,1,8.25,1,0
Zeeshan Maqsood,All Rounder,8,T, Janakpur - Qualifier 2,12,11,2,0,109.09,T,4,0,19,1,4.75,1,0
Zeeshan Maqsood,All Rounder,8,T, Kathmandu - 6th ,14,11,1,0,127.27,T,4,0,24,1,6,0,0
Zeeshan Maqsood,All Rounder,8,T, Lumbini - 22nd ,1,1,0,0,100,T,3,0,12,2,4,0,0
Zeeshan Maqsood,All Rounder,8,T, S Paschim - 28th ,30,35,4,0,85.71,T,4,0,14,0,3.5,1,0
Zeeshan Maqsood,All Rounder,8,F,Pokhara  - 17th ,0,0,0,0,0,T,4,0,11,0,2.75,0,0
