"players_name","players_type","total_batted","matches_name","runs","balls","fours","sixes","sr","overs","maidens","runs_conceded","wickets","economy","wides","no_balls"
"Luc Benkenstein","All Rounder",5,"Chitwan vs Karnali - 10th Match",0,5,0,0,"0","1",0,17,0,"17",2,0
"Luc Benkenstein","All Rounder",5,"Chitwan vs Pokhara - 5th Match",16,13,1,2,"123.07","4",0,37,3,"9.25",5,0
"Luc Benkenstein","All Rounder",5,"Karnali vs Chitwan - Eliminator",16,13,1,1,"123.07",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Luc Benkenstein","All Rounder",5,"Kathmandu vs Chitwan - 2nd Match",22,17,1,2,"129.41","3",0,14,1,"4.66",0,0
"Luc Benkenstein","All Rounder",5,"Lumbini vs Chitwan - 16th Match",31,29,3,1,"106.89",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Nar Sarki","right handed Batter",1,"Lumbini vs Chitwan - 16th Match",22,12,1,1,"183.33","2",0,18,0,"9",0,0
"Ranjit Kumar","All Rounder",1,"Biratnagar vs Chitwan - 23rd Match",NULL,NULL,NULL,NULL,NULL,"3",0,30,0,"10",1,0
"Ranjit Kumar","All Rounder",1,"Chitwan vs Janakpur - 25th Match",NULL,NULL,NULL,NULL,NULL,"2",0,16,0,"8",0,0
"Ranjit Kumar","All Rounder",1,"Chitwan vs S Paschim - 15th Match",NULL,NULL,NULL,NULL,NULL,"4",0,30,1,"7.5",1,0
"Ranjit Kumar","All Rounder",1,"Karnali vs Chitwan - Eliminator",0,0,0,0,"-","1",0,18,0,"18",0,0
"Ranjit Kumar","All Rounder",1,"Lumbini vs Chitwan - 16th Match",NULL,NULL,NULL,NULL,NULL,"4",0,26,1,"6.5",0,0
"Ravi Bopara","All Rounder",8,"Biratnagar vs Chitwan - 23rd Match",20,24,2,0,"83.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ravi Bopara","All Rounder",8,"Chitwan vs Janakpur - 25th Match",44,32,5,1,"137.5","1",0,13,0,"13",0,0
"Ravi Bopara","All Rounder",8,"Chitwan vs Karnali - 10th Match",59,40,7,1,"147.5","2",0,14,1,"7",1,0
"Ravi Bopara","All Rounder",8,"Chitwan vs Pokhara - 5th Match",51,38,3,3,"134.21",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ravi Bopara","All Rounder",8,"Chitwan vs S Paschim - 15th Match",36,18,2,2,"200",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ravi Bopara","All Rounder",8,"Karnali vs Chitwan - Eliminator",53,34,3,4,"155.88","2",0,8,1,"4",0,0
"Ravi Bopara","All Rounder",8,"Kathmandu vs Chitwan - 2nd Match",11,9,2,0,"122.22","4",0,23,0,"5.75",2,0
"Ravi Bopara","All Rounder",8,"Lumbini vs Chitwan - 16th Match",12,16,0,0,"75",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Rijan Dhakal","left-arm medium Bowler",2,"Biratnagar vs Chitwan - 23rd Match",NULL,NULL,NULL,NULL,NULL,"4",0,40,2,"10",2,0
"Rijan Dhakal","left-arm medium Bowler",2,"Chitwan vs Janakpur - 25th Match",NULL,NULL,NULL,NULL,NULL,"3",0,19,2,"6.33",0,0
"Rijan Dhakal","left-arm medium Bowler",2,"Chitwan vs Karnali - 10th Match",NULL,NULL,NULL,NULL,NULL,"3.5",0,35,0,"9.13",2,0
"Rijan Dhakal","left-arm medium Bowler",2,"Chitwan vs Pokhara - 5th Match",NULL,NULL,NULL,NULL,NULL,"3",1,10,3,"3.33",0,0
"Rijan Dhakal","left-arm medium Bowler",2,"Chitwan vs S Paschim - 15th Match",NULL,NULL,NULL,NULL,NULL,"3",0,33,2,"11",1,0
"Rijan Dhakal","left-arm medium Bowler",2,"Karnali vs Chitwan - Eliminator",7,4,1,0,"175","4",0,44,0,"11",0,0
"Rijan Dhakal","left-arm medium Bowler",2,"Kathmandu vs Chitwan - 2nd Match",NULL,NULL,NULL,NULL,NULL,"4",0,22,1,"5.5",0,0
"Rijan Dhakal","left-arm medium Bowler",2,"Lumbini vs Chitwan - 16th Match",15,14,1,0,"107.14","4",0,29,3,"7.25",0,1
"Santosh Karki","right handed Batter",7,"Biratnagar vs Chitwan - 23rd Match",28,25,3,1,"112",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Santosh Karki","right handed Batter",7,"Chitwan vs Janakpur - 25th Match",14,12,0,1,"116.66",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Santosh Karki","right handed Batter",7,"Chitwan vs Karnali - 10th Match",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Santosh Karki","right handed Batter",7,"Chitwan vs Pokhara - 5th Match",11,13,0,0,"84.61",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Santosh Karki","right handed Batter",7,"Chitwan vs S Paschim - 15th Match",9,7,1,0,"128.57",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Santosh Karki","right handed Batter",7,"Karnali vs Chitwan - Eliminator",8,15,0,0,"53.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Santosh Karki","right handed Batter",7,"Kathmandu vs Chitwan - 2nd Match",28,31,2,1,"90.32",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Santosh Karki","right handed Batter",7,"Lumbini vs Chitwan - 16th Match",10,8,2,0,"125",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sharad Vesawkar","right handed Batter",4,"Chitwan vs Karnali - 10th Match",6,3,1,0,"200","2",0,16,0,"8",0,0
"Sharad Vesawkar","right handed Batter",4,"Chitwan vs Pokhara - 5th Match",11,12,0,0,"91.66",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sharad Vesawkar","right handed Batter",4,"Karnali vs Chitwan - Eliminator",10,10,1,0,"100","4",0,37,1,"9.25",0,0
"Sharad Vesawkar","right handed Batter",4,"Kathmandu vs Chitwan - 2nd Match",11,21,0,0,"52.38",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sohail Tanvir","left-arm fast-medium Bowler",6,"Biratnagar vs Chitwan - 23rd Match",1,2,0,0,"50","4",0,33,1,"8.25",1,0
"Sohail Tanvir","left-arm fast-medium Bowler",6,"Chitwan vs Janakpur - 25th Match",5,3,1,0,"166.66","4",0,23,2,"5.75",2,1
"Sohail Tanvir","left-arm fast-medium Bowler",6,"Chitwan vs Karnali - 10th Match",0,2,0,0,"0","4",0,18,0,"4.5",1,0
"Sohail Tanvir","left-arm fast-medium Bowler",6,"Chitwan vs Pokhara - 5th Match",0,1,0,0,"0","3",1,6,3,"2",0,0
"Sohail Tanvir","left-arm fast-medium Bowler",6,"Chitwan vs S Paschim - 15th Match",NULL,NULL,NULL,NULL,NULL,"3.2",0,22,1,"6.6",2,1
"Sohail Tanvir","left-arm fast-medium Bowler",6,"Karnali vs Chitwan - Eliminator",4,3,1,0,"133.33","4",0,24,2,"6",0,1
"Sohail Tanvir","left-arm fast-medium Bowler",6,"Kathmandu vs Chitwan - 2nd Match",NULL,NULL,NULL,NULL,NULL,"4",0,21,5,"5.25",0,0
"Sohail Tanvir","left-arm fast-medium Bowler",6,"Lumbini vs Chitwan - 16th Match",1,2,0,0,"50","4",0,27,0,"6.75",1,0
