Players_Name,Players_Type,Total_Batted,Matches_Name,Runs,Balls,Fours,Sixes,Sr,Overs,Maidens,Runs_Conceded,Wickets,Economy,Wides,No_Balls,Did_Bat,Did_Bowl
Michael Leask,All Rounder,6, Kathmandu - 24th,1,2,0,0,50,1,0,17,1,17,0,0,T,T
Michael Leask,All Rounder,6,S Paschim  - 27th,5,4,1,0,125,4,0,27,1,6.75,0,0,T,T
Narayan Joshi,All Rounder,5,Biratnagar  - 20th,2,3,0,0,66.67,0,0,0,0,0,0,0,T,F
Narayan Joshi,All Rounder,5,Chitwan  - 5th,30,24,3,2,125,1,0,10,0,10,0,0,T,T
Narayan Joshi,All Rounder,5,Lumbini  - 11th,0,0,0,0,0,0,0,0,0,0,0,0,F,F
Narayan Joshi,All Rounder,5, Janakpur - 8th,5,3,0,0,166.67,1,0,21,0,21,3,0,T,T
Narayan Joshi,All Rounder,5, Karnali - 17th,1,2,0,0,50,0,0,0,0,0,0,0,T,F
Narayan Joshi,All Rounder,5, Kathmandu - 24th,0,1,0,0,0,0,0,0,0,0,0,0,T,F
Raymon Reifer,All Rounder,7,Biratnagar  - 20th,34,23,3,2,147.83,0,0,0,0,0,0,0,T,F
Raymon Reifer,All Rounder,7,Biratnagar  - 20th,17,5,1,2,340,0,0,0,0,0,0,0,T,F
Raymon Reifer,All Rounder,7,Chitwan  - 5th,1,9,0,0,11.11,4,0,38,2,9.5,2,0,T,T
Raymon Reifer,All Rounder,7,Lumbini  - 11th,0,0,0,0,0,4,0,30,0,7.5,2,0,F,T
Raymon Reifer,All Rounder,7, Janakpur - 8th,17,20,1,0,85,1,0,12,0,12,0,0,T,T
Raymon Reifer,All Rounder,7, Karnali - 17th,20,26,0,0,76.92,2,0,7,0,3.5,0,0,T,T
Raymon Reifer,All Rounder,7, Kathmandu - 24th,41,30,1,3,136.67,2,0,20,0,10,0,0,T,T
Raymon Reifer,All Rounder,7,S Paschim  - 27th,33,28,2,2,117.86,4,0,24,1,6,1,0,T,T
Sagar Dhakal,Left-Arm Orthodox Spin Bowler,4,Biratnagar  - 20th,0,0,0,0,0,0,0,0,0,0,0,0,F,F
Sagar Dhakal,Left-Arm Orthodox Spin Bowler,4,Chitwan  - 5th,0,1,0,0,0,3,0,16,1,5.33,0,0,T,T
Sagar Dhakal,Left-Arm Orthodox Spin Bowler,4,Lumbini  - 11th,0,0,0,0,0,2,0,23,0,11.5,0,0,F,T
Sagar Dhakal,Left-Arm Orthodox Spin Bowler,4, Janakpur - 8th,0,0,0,0,0,4,0,20,0,5,0,0,F,T
Sagar Dhakal,Left-Arm Orthodox Spin Bowler,4, Karnali - 17th,0,1,0,0,0,4,0,24,1,6,0,0,T,T
Sagar Dhakal,Left-Arm Orthodox Spin Bowler,4, Kathmandu - 24th,1,2,0,0,50,4,0,37,0,9.25,0,0,T,T
Sagar Dhakal,Left-Arm Orthodox Spin Bowler,4,S Paschim  - 27th,1,1,0,0,100,4,0,29,1,7.25,0,0,T,T
Sudip Aryal,Right Handed Batter,1,S Paschim  - 27th,0,0,0,0,0,2,0,19,0,9.5,0,1,T,T
Trit Raj Das,All Rounder,1,Biratnagar  - 20th,0,1,0,0,0,0,0,0,0,0,0,0,T,F
Zen Malik,All Rounder,2,Biratnagar  - 20th,4,9,0,0,44.44,0,0,0,0,0,0,0,T,F
Zen Malik,All Rounder,2,S Paschim  - 27th,10,15,0,0,66.67,0,0,0,0,0,0,0,T,F
