"players_name","players_type","total_batted","matches_name","runs","balls","fours","sixes","sr","overs","maidens","runs_conceded","wickets","economy","wides","no_balls"
"Dipendra Singh Airee","right handed Batter",9,"Chitwan vs S Paschim - 15th Match",1,2,0,0,"50","4",0,32,1,"8",0,0
"Dipendra Singh Airee","right handed Batter",9,"Janakpur vs S Paschim - Qualifier 1",20,16,1,1,"125","4",0,29,3,"7.25",0,0
"Dipendra Singh Airee","right handed Batter",9,"Karnali vs S Paschim - 28th Match",38,29,4,1,"131.03","4",0,20,2,"5",1,0
"Dipendra Singh Airee","right handed Batter",9,"S Paschim vs Biratnagar - 4th Match",57,24,3,5,"237.5","2",0,9,0,"4.5",0,0
"Dipendra Singh Airee","right handed Batter",9,"S Paschim vs Janakpur - 18th Match",0,3,0,0,"0","3",0,27,2,"9",1,0
"Dipendra Singh Airee","right handed Batter",9,"S Paschim vs Janakpur - Final",9,7,0,0,"128.57","4",0,40,1,"10",0,0
"Dipendra Singh Airee","right handed Batter",9,"S Paschim vs Kathmandu - 9th Match",43,25,3,2,"172",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dipendra Singh Airee","right handed Batter",9,"S Paschim vs Lumbini - 12th Match",39,19,4,2,"205.26",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dipendra Singh Airee","right handed Batter",9,"S Paschim vs Pokhara - 27th Match",20,16,0,1,"125","4",0,18,0,"4.5",0,0
"Harmeet Singh","All Rounder",3,"Janakpur vs S Paschim - Qualifier 1",NULL,NULL,NULL,NULL,NULL,"4",0,13,0,"3.25",0,0
"Harmeet Singh","All Rounder",3,"Karnali vs S Paschim - 28th Match",NULL,NULL,NULL,NULL,NULL,"4",0,17,3,"4.25",2,0
"Harmeet Singh","All Rounder",3,"S Paschim vs Janakpur - 18th Match",1,3,0,0,"33.33","4",2,2,2,"0.5",1,0
"Harmeet Singh","All Rounder",3,"S Paschim vs Janakpur - Final",14,8,0,1,"175","4",0,32,0,"8",1,0
