Players_Name,Players_Type,Total_Batted,Did_Bat,Matches_Name,Runs,Balls,Fours,Sixes,Sr,Did_Bowl,Overs,Maidens,Runs_Conceded,Wickets,Economy,Wides,No_Balls
Shubh Kansakar,Right Handed Batter,6, T,Chitwan   - 25th ,15,12,2,1,125, F,0,0,0,0,0,0,0
Shubh Kansakar,Right Handed Batter,6, T,  Lumbini - 14th ,22,24,0,2,91.67, F,0,0,0,0,0,0,0
Shubh Kansakar,Right Handed Batter,6, T,  S Paschim - Qualifier 1,26,24,4,0,108.33, F,0,0,0,0,0,0,0
Shubh Kansakar,Right Handed Batter,6, F,Karnali   - 3rd ,0,0,0,0,0, F,0,0,0,0,0,0,0
Shubh Kansakar,Right Handed Batter,6, T,Karnali   - Qualifier 2,3,6,0,0,50, F,0,0,0,0,0,0,0
Shubh Kansakar,Right Handed Batter,6, T,Kathmandu   - 21st ,5,7,1,0,71.43, F,0,0,0,0,0,0,0
Shubh Kansakar,Right Handed Batter,6, F,Pokhara   - 8th ,0,0,0,0,0, F,0,0,0,0,0,0,0
Shubh Kansakar,Right Handed Batter,6, T,S Paschim   - 18th ,0,3,0,0,0, F,0,0,0,0,0,0,0
Shubh Kansakar,Right Handed Batter,6, F,S Paschim   - Final,0,0,0,0,0, F,0,0,0,0,0,0,0
Tul Thapa,Left-Arm Chinaman Bowler,0, F,Biratnagar   - 1st ,0,0,0,0,0, T,0,0,0,0,0,0,0
Tul Thapa,Left-Arm Chinaman Bowler,0, F,Karnali   - 3rd ,0,0,0,0,0, F,0,0,0,0,0,0,0
Tul Thapa,Left-Arm Chinaman Bowler,0, F,Pokhara   - 8th ,0,0,0,0,0, T,0,0,0,0,0,0,0
