"players_name","players_type","total_batted","matches_name","runs","balls","fours","sixes","sr","overs","maidens","runs_conceded","wickets","economy","wides","no_balls"
"James Neesham","All Rounder",9,"Janakpur vs S Paschim - Qualifier 1",45,23,3,3,"195.65","3",0,25,0,"8.33",2,0
"James Neesham","All Rounder",9,"Karnali vs Janakpur - 3rd Match",16,8,2,1,"200","4",0,37,1,"9.25",0,0
"James Neesham","All Rounder",9,"Karnali vs Janakpur - Qualifier 2",45,17,2,5,"264.7","4",0,30,2,"7.5",1,0
"James Neesham","All Rounder",9,"Kathmandu vs Janakpur - 21st Match",27,17,1,3,"158.82","1",0,10,0,"10",1,0
"James Neesham","All Rounder",9,"Pokhara vs Janakpur - 8th Match",40,20,0,5,"200","4",0,29,2,"7.25",2,0
"James Neesham","All Rounder",9,"S Paschim vs Janakpur - 18th Match",4,8,1,0,"50","2",0,12,0,"6",0,0
"James Neesham","All Rounder",9,"S Paschim vs Janakpur - Final",4,7,0,0,"57.14","4",0,44,1,"11",2,0
"Joshua Tromp","right handed Batter",1,"S Paschim vs Janakpur - 18th Match",13,13,1,1,"100",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Kishore Mahato","All Rounder",4,"Biratnagar vs Janakpur - 1st Match",NULL,NULL,NULL,NULL,NULL,"3",0,18,2,"6",2,1
"Kishore Mahato","All Rounder",4,"Chitwan vs Janakpur - 25th Match",4,8,0,0,"50","3",0,40,0,"13.33",4,0
"Kishore Mahato","All Rounder",4,"Janakpur vs Lumbini - 14th Match",NULL,NULL,NULL,NULL,NULL,"3",0,25,1,"8.33",1,0
"Kishore Mahato","All Rounder",4,"Janakpur vs S Paschim - Qualifier 1",2,2,0,0,"100","3",0,14,1,"4.66",1,0
"Kishore Mahato","All Rounder",4,"Karnali vs Janakpur - 3rd Match",NULL,NULL,NULL,NULL,NULL,"4",0,28,1,"7",7,0
"Kishore Mahato","All Rounder",4,"Karnali vs Janakpur - Qualifier 2",0,0,0,0,"-","3",0,34,0,"11.33",0,0
"Kishore Mahato","All Rounder",4,"Kathmandu vs Janakpur - 21st Match",NULL,NULL,NULL,NULL,NULL,"3",1,14,1,"4.66",0,0
"Kishore Mahato","All Rounder",4,"Pokhara vs Janakpur - 8th Match",NULL,NULL,NULL,NULL,NULL,"4",0,32,1,"8",1,0
"Kishore Mahato","All Rounder",4,"S Paschim vs Janakpur - 18th Match",0,11,0,0,"0","4",0,35,4,"8.75",2,0
"Kishore Mahato","All Rounder",4,"S Paschim vs Janakpur - Final",NULL,NULL,NULL,NULL,NULL,"3",0,25,3,"8.33",0,0
"Lahiru Milantha","WicketKeeper Batter",10,"Biratnagar vs Janakpur - 1st Match",75,53,9,3,"141.5",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Lahiru Milantha","WicketKeeper Batter",10,"Chitwan vs Janakpur - 25th Match",1,4,0,0,"25",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Lahiru Milantha","WicketKeeper Batter",10,"Janakpur vs Lumbini - 14th Match",24,23,2,0,"104.34",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Lahiru Milantha","WicketKeeper Batter",10,"Janakpur vs S Paschim - Qualifier 1",12,14,2,0,"85.71",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Lahiru Milantha","WicketKeeper Batter",10,"Karnali vs Janakpur - 3rd Match",24,13,2,2,"184.61",NULL,NULL,NULL,NULL,NULL,NULL,NULL
